Year,IG default ,SG default ,All default ,ALL,SG,IG
1920,8,25,33,2674,831,1843
1921,7,25,32,2996,1163,1833
1922,10,23,33,3277,1305,1972
1923,5,22,27,3358,1290,2068
1924,3,37,40,3472,1297,2175
1925,7,34,41,3501,1327,2174
1926,4,18,22,2865,943,1922
1927,1,15,16,2174,819,1355
1928,0,8,8,2204,912,1292
1929,3,12,15,2101,857,1244
1930,2,21,23,2214,953,1261
1931,6,78,84,2209,988,1221
1932,10,108,118,2146,983,1163
1933,9,189,198,2322,1198,1124
1934,5,60,65,1910,1019,891
1935,9,51,60,1526,817,709
1936,3,19,22,1348,701,647
1937,4,18,22,1279,657,622
1938,9,17,26,1235,656,579
1939,2,13,15,1227,735,492
1940,2,22,24,973,620,353
1941,0,10,10,923,586,337
1942,0,4,4,879,546,333
1943,0,3,3,813,489,324
1944,0,3,3,773,452,321
1945,0,2,2,656,356,300
1946,0,0,0,656,356,300
1947,0,2,2,635,315,320
1948,0,0,0,635,315,320
1949,0,5,5,599,261,338
1950,0,0,0,599,261,338
1951,0,1,1,568,231,337
1952,0,0,0,568,231,337
1953,0,0,0,568,231,337
1954,0,1,1,602,214,388
1955,0,1,1,602,193,409
1956,0,0,0,602,193,409
1957,0,1,1,699,223,476
1958,0,0,0,699,223,476
1959,0,0,0,699,223,476
1960,0,2,2,816,267,549
1961,0,3,3,847,280,567
1962,0,4,4,849,264,585
1963,0,3,3,852,260,592
1964,0,0,0,852,260,592
1965,0,0,0,852,260,592
1966,0,1,1,820,228,592
1967,0,0,0,820,228,592
1968,0,1,1,943,267,676
1969,0,0,0,943,267,676
1970,2,25,27,1026,288,738
1971,0,3,3,1049,260,789
1972,0,5,5,1104,260,844
1973,2,3,5,1096,234,862
1974,0,3,3,1091,225,866
1975,0,4,4,1108,230,878
1976,0,2,2,1136,230,906
1977,1,3,4,1130,221,909
1978,0,4,4,1130,219,911
1979,0,1,1,1136,230,906
1980,0,4,4,1163,245,918
1981,0,2,2,1235,287,948
1982,2,11,13,1249,310,939
1983,0,13,13,1443,320,1123
1984,2,11,13,1494,351,1143
1985,0,16,16,1681,424,1257
1986,3,33,36,1967,535,1432
1987,0,31,31,2178,720,1458
1988,0,33,33,2369,856,1513
1989,4,50,54,2427,846,1581
1990,1,89,90,2520,844,1676
1991,1,68,69,2464,748,1716
1992,0,33,33,2470,669,1801
1993,0,23,23,2561,676,1885
1994,0,19,19,2919,812,2107
1995,0,29,29,3229,947,2282
1996,0,18,18,3557,1092,2465
1997,0,25,25,4065,1324,2741
1998,1,51,52,4594,1689,2905
1999,1,107,108,5104,1999,3105
2000,4,124,128,5224,2043,3181
2001,4,186,190,5180,1935,3245
2002,14,133,147,5050,1742,3308
2003,0,91,91,4951,1714,3237
2004,0,41,41,4958,1701,3257
2005,2,31,33,5140,1804,3336
2006,0,31,31,5254,1861,3393
2007,0,19,19,5476,2017,3459
2008,21,118,139,5571,2178,3393
2009,14,258,272,5448,2133,3315
2010,3,61,64,5216,2029,3187
2011,6,43,49,5315,2121,3194
2012,1,66,67,5542,2433,3109
2013,3,67,70,5682,2552,3130
2014,2,55,57,5956,2783,3173
2015,0,109,109,6236,2979,3257
2016,0,137,137,6366,3058,3308
2017,0,102,102,6216,3009,3207
2018,0,71,71,6362,3079,3283
2019,2,93,95,,,
2020,2,200,202,,,
,207,3617,3824,235218,89813,145405
,,,,0.016257259223359,0.040272566332268,0.001423609917128
