"","AIC","M0","L","mu","r"
"1",403.040405555155,0.331841387381525,0.826780557766578,0.869154551041318,0.350753192013904
"2",647.182440707339,0.620373014533736,1.30781562260434,2.85662836654764,0.394047294602674
"3",570.071773082457,0.274102975361839,0.571263824138385,2.72149436479033,0.466442733839705
"4",427.762049011812,0.215207769731181,0.551654362252569,1.13771100818724,0.518878293872791
"5",395.271206996798,0.171499326520873,0.70969471065162,0.986705857557705,0.707510078131714
"6",289.488049407,0.210822169191381,0.688774003967787,0.495284582133736,0.467070882331162
"7",267.262041943026,0.225855489261415,3.12778966938962,0.35822063401778,0.804579523174781
"8",608.112148492774,0.431147076757089,1.0741209207478,2.06803085762551,0.492879181641947
"9",609.687682184271,0.547600474287245,1.31382002827094,1.99211305816511,0.425194929882121
"10",131.374583050489,0.0479948708662369,0.126677267156583,0.220531180042427,0.515732147799909
"11",359.990747924777,0.174560959518984,0.367910130702804,1.02933503177762,0.428638744625951
"12",377.807150725602,0.421053176162976,1.06069534908147,0.812269065971597,0.175805501457139
"13",313.793849401027,0.164293258069932,0.728760372430147,0.467136657215227,0.652255051831763
