"","AIC","M0","L.1.","L.2.","L.3.","L.4.","L.5.","L.6.","L.7.","L.8.","L.9.","L.10.","L.11.","L.12.","L.13.","r"
"1",377.564099516443,0.158535888815253,0.966303822203885,0.911829224450961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.307949843281859
"2",626.159470809049,0.451985807428853,1.1750968678463,2.26829352290506,0.729464867572107,1.45875872303358,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.268110486227776
"3",552.076456164206,1.47152921589552e-07,2.97713528425219e-07,1.49825226821077e-06,6.50708977278484e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.432959052593442
"4",408.21052300581,1.02782372406556e-07,3.19987000708305e-07,6.03671245533131e-07,1.20842618978051e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.395458101450454
"5",390.222400886504,0.119578359182145,1.27701905959258,1.85033344278733,1.52151440094254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.441035362268579
"6",276.416164347195,0.0867161268774265,0.875667809499021,2.45161794061269,0.372768793452238,0.566502844852844,0.90876883456988,NA,NA,NA,NA,NA,NA,NA,NA,0.181943542677173
"7",261.491147363349,0.143705397607793,251992.821499559,4.20868217836484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.686028406773385
"8",570.9560281354,0.319488356583406,1.28710672622806,1.35379559590596,1.32596264196382,3.25692365059772,0.181300203594031,1.16312812231571,NA,NA,NA,NA,NA,NA,NA,9.76864426312321e-05
"9",582.943677650077,0.359256049320965,1.81512068171855,3.95927178378982,1.44097359122879,1.44475935369008,1.20275537044118,NA,NA,NA,NA,NA,NA,NA,NA,0.330578475998978
"10",122.385008835222,7.66733075982802e-09,1.9538054817931e-08,1.32231390339288e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.267854636974389
"11",331.40585811206,2.93197241254563e-09,7.84559272293463e-09,4.1060025672815e-08,2.77028327271159e-08,8.9676490602247e-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.187196182155873
"12",357.728782650483,0.189438489279087,0.77210081273352,2.05927157396098,2.21598142757846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.26595988571115e-06
"13",266.783961702831,0.0041146123656499,17.6717333879615,0.0400440275684413,0.0514637591656927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63958064667688
